name|mana_cost|mana_value|rules_text
Krark, the Thumbless|{1}{R}|2|Legendary Creature — Goblin Wizard. Partner. Whenever you cast an instant or sorcery spell, flip a coin. If you lose the flip, return that spell to its owner's hand. If you win the flip, copy that spell. You may choose new targets for the copy.
Sakashima of a Thousand Faces|{3}{U}|4|Legendary Creature — Human Rogue. Partner. You may have Sakashima of a Thousand Faces enter the battlefield as a copy of any creature you control on the battlefield, except it has Sakashima of a Thousand Faces's other abilities. The "legend rule" doesn't apply to permanents you control.
Archmage Emeritus|{2}{U}{U}|4|Magecraft — Whenever you cast or copy an instant or sorcery spell, draw a card.
Baral, Chief of Compliance|{1}{U}|2|Instant and sorcery spells you cast cost {1} less to cast. Whenever a spell or ability you control counters a spell, you may draw a card. If you do, discard a card.
Birgi, God of Storytelling|{2}{R}|3|Whenever you cast a spell, add {R}. Until end of turn, you don't lose this mana as steps and phases end. (Back: Harnfel, Horn of Bounty)
Dualcaster Mage|{1}{R}{R}|3|Flash. When Dualcaster Mage enters the battlefield, copy target instant or sorcery spell. You may choose new targets for the copy.
Gale, Waterdeep Prodigy|{2}{U}|3|Legendary Creature — Human Wizard. Whenever you cast an instant spell from your hand, you may cast target sorcery card from your graveyard. If you do, exile it when it resolves. Whenever you cast a sorcery spell from your hand, you may cast target instant card from your graveyard.
Gilded Drake|{1}{U}|2|Flying. When Gilded Drake enters the battlefield, exchange control of Gilded Drake and up to one target creature an opponent controls. If you can't, sacrifice Gilded Drake.
Harmonic Prodigy|{1}{R}|2|Prowess. If an ability of a Shaman or Wizard you control triggers, that ability triggers an additional time.
Imperial Recruiter|{2}{R}|3|When Imperial Recruiter enters the battlefield, search your library for a creature card with power 2 or less, reveal it, put it into your hand, then shuffle.
Mistcaller|{U}|1|Sacrifice Mistcaller: Until end of turn, if a nontoken creature would enter the battlefield and it wasn't cast, exile it instead.
Okaun, Eye of Chaos|{3}{R}{R}|5|Partner with Zndrsplt, Eye of Wisdom. At the beginning of combat on your turn, flip a coin until you lose a flip. Whenever you win a coin flip, double Okaun's power and toughness until end of turn.
Ragavan, Nimble Pilferer|{R}|1|Legendary Creature — Monkey Pirate. Whenever Ragavan deals combat damage to a player, create a Treasure token and exile the top card of that player's library. You may cast that card this turn. Dash {1}{R}.
Snapcaster Mage|{1}{U}|2|Flash. When Snapcaster Mage enters the battlefield, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost.
Spellseeker|{2}{U}|3|When Spellseeker enters the battlefield, search your library for an instant or sorcery card with mana value 2 or less, reveal it, put it into your hand, then shuffle.
Storm-Kiln Artist|{3}{R}|4|Magecraft — Whenever you cast or copy an instant or sorcery spell, create a Treasure token. Storm-Kiln Artist gets +1/+0 for each artifact you control.
Tavern Scoundrel|{1}{R}|2|Whenever you flip a coin, if you win the flip, create two Treasure tokens. {1}, Sacrifice a permanent: Flip a coin.
Urabrask|{2}{R}{R}|4|Legendary Creature — Praetor. Whenever you cast an instant or sorcery spell, Urabrask deals 1 damage to target opponent and you add {R}. {R}: Exile Urabrask, then return it transformed under its owner's control. Activate only as a sorcery and only if you've cast three or more instant and/or sorcery spells this turn.
Veyran, Voice of Duality|{1}{U}{R}|3|Magecraft — Whenever you cast or copy an instant or sorcery spell, Veyran gets +1/+1 until end of turn. If casting or copying an instant or sorcery spell causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Vivi Ornitier|{2}{R}|3|Universes Beyond: Final Fantasy — Vivi, Ornitier Mage. Focuses on instant/sorcery copy/damage triggers. (Note: Exact rules functionality pairs with casting/copying high-density storm lines).
Zndrsplt, Eye of Wisdom|{4}{U}|5|Partner with Okaun, Eye of Chaos. At the beginning of combat on your turn, flip a coin until you lose a flip. Whenever you win a coin flip, draw a card.
Glasspool Mimic|{2}{U}|3|You may have Glasspool Mimic enter the battlefield as a copy of any creature you control, except it's a Rogue in addition to its other types. (Back: Glasspool Shore)
Phantasmal Image|{1}{U}|2|You may have Phantasmal Image enter the battlefield as a copy of any creature on the battlefield, except it's an Illusion in addition to its other types and it has "When this creature becomes the target of a spell or ability, sacrifice it."
Quasiduplicate|{1}{U}{U}|3|Create a token that's a copy of target creature you control. Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card).
Subtlety|{2}{U}{U}|4|Flash. Flying. When Subtlety enters the battlefield, choose target creature or planeswalker spell. Its owner puts it on the top or bottom of their library. Evoke—Exile a blue card from your hand.
Thassa's Oracle|{U}{U}|2|When Thassa's Oracle enters the battlefield, look at the top X cards of your library, where X is your devotion to blue. If X is greater than or equal to the number of cards in your library, you win the game. Otherwise, put those cards back in any order.
Brainstorm|{U}|1|Draw three cards, then put two cards from your hand on top of your library in any order.
Gamble|{R}|1|Search your library for a card, put it into your hand, shuffle, then discard a card at random.
Jeska's Will|{2}{R}|3|Choose one. If you control a commander as you cast this spell, you may choose both — Add {R} for each card in target opponent's hand; or Exile the top three cards of your library. You may play them this turn.
Ponder|{U}|1|Look at the top three cards of your library, then put them back in any order. You may shuffle. Draw a card.
Cyclonic Rift|{1}{U}|2|Return target nonland permanent you don't control to its owner's hand. Overload {6}{U} (You may cast this spell for its overload cost. If you do, replace each instance of "target" with "each".)
Grapeshot|{1}{R}|2|Grapeshot deals 1 damage to any target. Storm.
Twinflame|{1}{R}|2|Choose any number of target creatures you control. For each of them, create a token that's a copy of that creature, except it has haste. Sacrifice those tokens at the beginning of the next end step. Strive {1}{R}.
